"lsoa","area","chronic.condition.rate","long.term.illness.rate","income.deprivation","public.travel.sec.school","public.travel.prim.school","adults.no.qualifications.percent","urban"
"Aberffraw & Rhosneigr 1 ","Isle of Anglesey ",13.4,19,15,99,52,15.6,0
"Aberffraw & Rhosneigr 2 ","Isle of Anglesey ",12.8,19.5,13,101,32,14,0
"Amlwch Port ","Isle of Anglesey ",15.3,25.1,23,44,32,21.2,0
"Amlwch Rural ","Isle of Anglesey ",12.1,21.5,12,69,45,19.2,0
"Beaumaris ","Isle of Anglesey ",11.9,17.7,14,77,28,14,0
"Bodffordd ","Isle of Anglesey ",13.6,20.8,10,50,37,17.4,0
"Bodorgan ","Isle of Anglesey ",12.2,19.8,11,77,40,13.9,0
"Braint ","Isle of Anglesey ",12.4,18.5,7,35,25,10.3,0
"Bryngwran ","Isle of Anglesey ",14.9,22.3,16,60,33,20.1,0
"Brynteg ","Isle of Anglesey ",10.4,19.3,9,73,32,13.9,0
"Cadnant (Isle of Anglesey) ","Isle of Anglesey ",10.8,14.7,9,28,28,8.9,0
"Cefni ","Isle of Anglesey ",14.7,19.3,10,32,35,12.1,0
"Cwm Cadnant ","Isle of Anglesey ",9.7,14.5,5,65,30,8.6,0
"Cyngar ","Isle of Anglesey ",14,19.9,14,39,28,13.5,0
"Gwyngyll ","Isle of Anglesey ",15.6,17.6,7,32,24,10.3,0
"Holyhead Town ","Isle of Anglesey ",16.4,26,34,23,20,24.4,0
"Kingsland ","Isle of Anglesey ",14.1,24,26,33,23,21.9,0
"Llanbadrig ","Isle of Anglesey ",12.9,20.9,17,83,30,16.6,0
"Llanbedrgoch ","Isle of Anglesey ",12.6,20.1,10,68,31,11.9,0
"Llanddyfnan ","Isle of Anglesey ",10.4,18.6,7,101,83,10.7,0
"Llaneilian ","Isle of Anglesey ",13.4,22.9,12,90,76,16.8,0
"Llanfaethlu ","Isle of Anglesey ",12.7,22.6,14,104,70,17.4,0
"Llanfair-yn-Neubwll 1 ","Isle of Anglesey ",17,23.3,15,28,30,22.1,0
"Llanfair-yn-Neubwll 2 ","Isle of Anglesey ",13.3,21.2,13,49,32,9.7,0
"Llanfihangel Ysgeifiog ","Isle of Anglesey ",13.3,19.6,11,68,43,13.3,0
"Llangoed ","Isle of Anglesey ",12.1,19.9,14,98,40,14.9,0
"Llanidan ","Isle of Anglesey ",14.6,19,12,64,34,15.9,0
"Llannerch-y-medd ","Isle of Anglesey ",13.6,20.6,15,107,74,18,0
"London Road ","Isle of Anglesey ",16.3,25.5,28,33,25,27.7,0
"Maeshyfryd ","Isle of Anglesey ",17.3,26,28,28,23,28.4,0
"Mechell ","Isle of Anglesey ",12.6,21.7,15,134,73,17.6,0
"Moelfre ","Isle of Anglesey ",11,19.4,15,59,25,14.9,0
"Morawelon ","Isle of Anglesey ",18.7,26.3,29,43,21,34.3,0
"Parc a'r Mynydd ","Isle of Anglesey ",13.3,19.8,14,41,46,16.7,0
"Pentraeth ","Isle of Anglesey ",11.6,19.8,12,88,54,13.6,0
"Porthyfelin 1 ","Isle of Anglesey ",15.3,26.9,28,28,28,22.6,0
"Porthyfelin 2 ","Isle of Anglesey ",14.9,21.4,17,26,25,23.9,0
"Rhosyr ","Isle of Anglesey ",15.8,22.3,16,90,33,16.9,0
"Trearddur 1 ","Isle of Anglesey ",12.9,19.5,9,72,49,10.8,0
"Trearddur 2 ","Isle of Anglesey ",10.7,20.9,9,71,56,10.2,0
"Tudur ","Isle of Anglesey ",16.2,26.1,30,41,30,32.7,0
"Tysilio ","Isle of Anglesey ",13.6,17.9,11,26,23,13.4,0
"Valley 1 ","Isle of Anglesey ",14.5,21.8,20,42,24,18.7,0
"Valley 2 ","Isle of Anglesey ",12.2,17.4,6,49,36,11.5,0
"Abererch ","Gwynedd ",12,19.1,10,83,46,16.7,0
"Abermaw 1 ","Gwynedd ",13.1,21.4,15,103,31,21,0
"Abermaw 2 ","Gwynedd ",9.8,19.9,14,73,24,18,0
"Arllechwedd ","Gwynedd ",12.8,18.2,14,72,43,13,0
"Bala ","Gwynedd ",14.5,19.4,14,28,21,19.7,0
"Bethel & Cwm-y-Glo 1 ","Gwynedd ",13.6,19.4,6,38,22,12.6,0
"Bethel & Cwm-y-Glo 2 ","Gwynedd ",10.4,18.8,6,82,69,12.9,0
"Bontnewydd ","Gwynedd ",14,18.2,8,59,32,12.5,0
"Bowydd and Rhiw ","Gwynedd ",15.5,23.7,19,33,26,17.1,0
"Brithdir and Llanfachreth/Ganllwyd/Llanelltyd ","Gwynedd ",11.8,16.9,8,112,97,12.1,0
"Cadnant (Gwynedd) ","Gwynedd ",15.9,26.3,26,28,23,28.4,0
"Corris/Mawddwy ","Gwynedd ",12,18.5,11,102,63,12.4,0
"Criccieth ","Gwynedd ",11.3,17.5,12,63,24,13.5,0
"Deiniol ","Gwynedd ",14.4,20,8,31,27,11.8,0
"Deiniolen ","Gwynedd ",14,22.5,17,80,26,17.9,0
"Dewi ","Gwynedd ",16.4,17.5,15,29,20,16.1,0
"Diffwys and Maenofferen ","Gwynedd ",14.1,21.6,18,24,20,23,0
"Dolbenmaen ","Gwynedd ",13.5,18.7,12,96,80,18.2,0
"Dolgellau North ","Gwynedd ",12.1,17.8,9,60,41,14,0
"Dolgellau South ","Gwynedd ",13.9,19.5,12,24,25,17.1,0
"Dyffryn Ardudwy ","Gwynedd ",12.2,17.8,10,85,34,19,0
"Efail-newydd/Buan ","Gwynedd ",11.1,18.8,10,120,98,16.7,0
"Gerlan ","Gwynedd ",13.9,20.1,16,34,24,15.3,0
"Glyder ","Gwynedd ",11.1,17.8,10,21,23,14.1,0
"Groeslon ","Gwynedd ",12.5,17.6,9,88,29,10.6,0
"Harlech ","Gwynedd ",12.5,19.3,12,47,36,14.8,0
"Hendre (Gwynedd) ","Gwynedd ",16.2,21.9,16,25,20,19.2,0
"Hirael & Garth 1 ","Gwynedd ",10.5,18.8,10,38,21,15.7,0
"Hirael & Garth 2 ","Gwynedd ",12.2,21.9,13,38,20,15.3,0
"Llanaelhaearn ","Gwynedd ",11.8,20.5,18,100,44,19.9,0
"Llanbedr ","Gwynedd ",11.8,19.7,11,89,42,14.3,0
"Llanbedrog & Abersoch ","Gwynedd ",9.8,17.6,13,90,34,14.8,0
"Llanberis ","Gwynedd ",13.3,20.1,13,56,27,14.3,0
"Llandderfel & Llanuwchllyn 1 ","Gwynedd ",12.6,18.3,10,131,113,15.9,0
"Llandderfel & Llanuwchllyn 2 ","Gwynedd ",10.1,16.1,7,138,116,14.1,0
"Llanengan ","Gwynedd ",10,15.9,7,119,56,16,0
"Llangelynin ","Gwynedd ",13.8,20.8,16,97,42,18.4,0
"Llanllyfni & Clynnog ","Gwynedd ",11.8,20.9,15,84,55,17,0
"Llanrug ","Gwynedd ",14,20.3,10,25,21,14.8,0
"Llanwnda ","Gwynedd ",12.4,18.8,12,100,36,12.6,0
"Llanystumdwy ","Gwynedd ",11.6,17,8,108,52,11.8,0
"Marchog 1 ","Gwynedd ",19,28.5,30,52,23,32.1,0
"Marchog 2 ","Gwynedd ",20.3,30.1,31,45,20,30.5,0
"Menai (Bangor) ","Gwynedd ",9.8,17.5,2,29,28,6.2,0
"Menai (Caernarfon) ","Gwynedd ",12.7,19.7,8,30,26,11.5,0
"Morfa Nefyn ","Gwynedd ",9.8,16,11,100,28,13.7,0
"Nefyn ","Gwynedd ",11.8,17.1,12,79,30,17.8,0
"Ogwen 1 ","Gwynedd ",15.8,22.4,17,25,20,17.1,0
"Ogwen 2 ","Gwynedd ",14.5,23.2,17,21,25,19.8,0
"Peblig (Caernarfon) ","Gwynedd ",18,31.3,34,35,27,39.2,0
"Penisarwaun ","Gwynedd ",12.4,18.4,11,73,31,10,0
"Penrhyndeudraeth 1 ","Gwynedd ",11,16.8,10,86,54,12.8,0
"Penrhyndeudraeth 2 ","Gwynedd ",14.1,20.1,10,44,27,17.4,0
"Pentir 1 ","Gwynedd ",14.5,17.4,6,39,25,8.6,0
"Pentir 2 ","Gwynedd ",12.9,18.6,13,64,47,9.8,0
"Penygroes (Gwynedd) ","Gwynedd ",15.1,21,18,26,25,20.3,0
"Porthmadog East ","Gwynedd ",13.4,19.2,11,27,25,21.7,0
"Porthmadog West ","Gwynedd ",11.6,16.2,7,103,56,11.7,0
"Porthmadog - Tremadog ","Gwynedd ",10.6,19,12,83,41,14.1,0
"Pwllheli North ","Gwynedd ",13.5,19.3,15,35,26,21.4,0
"Pwllheli South ","Gwynedd ",12.2,20,17,24,23,21.2,0
"Seiont 1 ","Gwynedd ",16,18.5,14,47,28,19.8,0
"Seiont 2 ","Gwynedd ",14.6,21.5,17,35,30,19.7,0
"Talysarn ","Gwynedd ",13.8,23.7,19,84,43,20.9,0
"Teigl ","Gwynedd ",14.3,21.6,16,48,28,16.6,0
"Trawsfynydd ","Gwynedd ",12.6,18.5,11,125,48,16.1,0
"Tregarth & Mynydd Llandygai ","Gwynedd ",11.4,17.9,11,69,35,10.2,0
"Tywyn 1 ","Gwynedd ",13.9,18.3,10,33,52,16.8,0
"Tywyn 2 ","Gwynedd ",18,23,19,37,49,21.7,0
"Waunfawr ","Gwynedd ",12.2,17.5,12,118,35,12.6,0
"Y Felinheli ","Gwynedd ",12.9,17.9,8,44,24,10.9,0
"Aberdaron / Botwnnog & Tudweiliog ","Gwynedd ",9.9,17.1,9,138,111,17,0
"Aberdovey / Bryn-crug / Llanfihangel ","Gwynedd ",10.9,15,9,62,53,11.7,0
"Betws-y-Coed ","Conwy ",10.2,16.3,8,81,41,13.8,0
"Betws yn Rhos ","Conwy ",11,18.3,8,148,81,14,0
"Bryn ","Conwy ",14.7,23.1,15,68,23,15.2,0
"Caerhun ","Conwy ",11.4,16.3,8,104,76,12.2,0
"Capelulo ","Conwy ",12.4,17.9,12,46,35,13.3,0
"Colwyn 1 ","Conwy ",12.6,18.9,12,37,25,9.2,0
"Colwyn 2 ","Conwy ",19.5,23.5,35,38,26,24.4,0
"Colwyn 3 ","Conwy ",14.2,21.8,16,33,27,14.9,0
"Conwy 1 ","Conwy ",16.2,19,24,24,37,17.3,0
"Conwy 2 ","Conwy ",9.4,17.5,8,33,22,12.2,0
"Conwy 3 ","Conwy ",9.2,19.4,9,45,27,14.2,0
"Craig-y-Don 1 ","Conwy ",13.6,22.1,18,36,23,16.4,0
"Craig-y-Don 2 ","Conwy ",10.4,16.9,8,43,25,9.3,0
"Crwst ","Conwy ",12,21.4,16,45,33,20.1,0
"Deganwy 1 ","Conwy ",10.1,16.2,6,34,30,6.8,0
"Deganwy 2 ","Conwy ",8.2,18.6,10,38,24,15.1,0
"Eglwysbach ","Conwy ",9.5,16.9,7,155,75,12,0
"Eirias 1 ","Conwy ",15.4,20.7,22,71,53,15.9,0
"Eirias 2 ","Conwy ",14.8,18.7,11,27,21,10.4,0
"Gele 1 ","Conwy ",11.5,22.2,23,42,34,19.1,0
"Gele 2 ","Conwy ",12,19.2,10,35,34,17.3,0
"Gele 3 ","Conwy ",12.3,19.1,5,52,39,10.2,0
"Glyn (Conwy) 1 ","Conwy ",14.6,22.6,22,29,26,16.6,0
"Glyn (Conwy) 2 ","Conwy ",22.1,29,43,28,21,20.9,0
"Glyn (Conwy) 3 ","Conwy ",13.2,23.4,20,28,25,16.1,0
"Gogarth 1 ","Conwy ",12.6,21.3,17,39,23,16.1,0
"Gogarth 2 ","Conwy ",13.7,18.7,15,49,30,17.3,0
"Gower (Conwy) ","Conwy ",12.6,20.9,14,73,27,24,0
"Kinmel Bay 1 ","Conwy ",18.1,28.7,24,58,31,38.6,0
"Kinmel Bay 2 ","Conwy ",15.5,23,18,144,85,23.5,0
"Kinmel Bay 3 ","Conwy ",18,28.3,21,134,31,24.5,0
"Kinmel Bay 4 ","Conwy ",17.2,26.5,19,58,38,25.1,0
"Llanddulas ","Conwy ",13.4,20.3,10,62,44,12.9,0
"Llandrillo yn Rhos 1 ","Conwy ",11.3,19.7,7,52,29,11.6,0
"Llandrillo yn Rhos 2 ","Conwy ",12.2,19.9,11,37,26,10.2,0
"Llandrillo yn Rhos 3 ","Conwy ",11.4,19.9,13,44,29,10.6,0
"Llandrillo yn Rhos 4 ","Conwy ",12.8,23.7,24,45,21,15.9,0
"Llandrillo yn Rhos 5 ","Conwy ",12.2,19.3,11,50,25,12.5,0
"Llangernyw ","Conwy ",12,18.3,9,166,105,13.9,0
"Llansannan ","Conwy ",10.6,19.4,9,172,123,14.6,0
"Llysfaen 1 ","Conwy ",14.7,27.2,36,41,23,26.7,0
"Llysfaen 2 ","Conwy ",11.6,17.9,12,51,26,14.2,0
"Marl 1 ","Conwy ",10.7,15.1,5,41,26,9.9,0
"Marl 2 ","Conwy ",15,21.5,13,44,32,18.9,0
"Mochdre ","Conwy ",14.6,22.9,20,40,22,22.8,0
"Mostyn (Conwy) 1 ","Conwy ",15.3,19.7,22,32,20,23.3,0
"Mostyn (Conwy) 2 ","Conwy ",14.5,24.8,18,35,20,19.5,0
"Pandy ","Conwy ",11,18.4,11,80,28,14.1,0
"Pant-yr-afon/Penmaenan 1 ","Conwy ",13.4,21,17,51,24,15.6,0
"Pant-yr-afon/Penmaenan 2 ","Conwy ",16,25,24,50,30,19.3,0
"Penrhyn 1 ","Conwy ",10.4,15.6,6,58,58,7.1,0
"Penrhyn 2 ","Conwy ",9.3,17.2,5,40,29,9.7,0
"Penrhyn 3 ","Conwy ",9.1,17.3,5,48,32,9.7,0
"Pensarn 1 ","Conwy ",14.3,22.2,18,47,30,19.3,0
"Pensarn 2 ","Conwy ",14.6,18,14,66,29,15.8,0
"Pentre Mawr 1 ","Conwy ",16,25.4,30,22,22,23.3,0
"Pentre Mawr 2 ","Conwy ",12.4,20.5,8,44,35,18.5,0
"Rhiw 1 ","Conwy ",10.3,16.8,5,58,32,12,0
"Rhiw 2 ","Conwy ",11.3,15,7,52,20,9.6,0
"Rhiw 3 ","Conwy ",14.4,25.3,29,29,22,19.3,0
"Rhiw 4 ","Conwy ",13.4,21,14,32,22,17,0
"Towyn ","Conwy ",17.5,27.3,22,70,54,31.4,0
"Trefriw ","Conwy ",11.7,20.4,12,76,46,13.6,0
"Tudno 1 ","Conwy ",17.8,25,24,24,20,22.9,0
"Tudno 2 ","Conwy ",19.8,29.3,38,21,21,29.1,0
"Tudno 3 ","Conwy ",12.5,19.1,11,29,24,15.5,0
"Uwch Conwy ","Conwy ",11.5,16.5,9,152,80,11.5,0
"Uwchaled ","Conwy ",12.5,17.8,8,180,120,13.4,0
"Llansanffraid ","Conwy ",12.3,16.6,7,92,37,12.6,0
"Abergele Pensarn 1 ","Conwy ",14.8,24.2,18,40,35,17.3,0
"Abergele Pensarn 2 ","Conwy ",15.7,31.9,36,31,30,33.6,0
"Bodelwyddan ","Denbighshire ",15.5,21.2,13,54,29,16.6,0
"Corwen 1 ","Denbighshire ",11.2,17.9,11,95,62,19.2,0
"Corwen 2 ","Denbighshire ",15.9,18.9,15,96,50,20.9,0
"Denbigh Central ","Denbighshire ",15.1,23.8,19,26,23,16.1,0
"Denbigh Lower 1 ","Denbighshire ",11.8,16.7,5,27,29,8.3,0
"Denbigh Lower 2 ","Denbighshire ",14.2,16.9,6,26,20,10,0
"Denbigh Lower 3 ","Denbighshire ",12.9,19.4,8,34,32,11.3,0
"Denbigh Upper/Henllan 1 ","Denbighshire ",20,29,31,30,20,32.8,0
"Denbigh Upper/Henllan 2 ","Denbighshire ",14.3,21.4,19,61,28,18.1,0
"Dyserth 1 ","Denbighshire ",12.2,19.7,10,47,23,10.9,0
"Dyserth 2 ","Denbighshire ",16.3,22.5,20,39,28,15.1,0
"Efenechtyd ","Denbighshire ",11.3,13.6,6,166,112,10.8,0
"Llanarmon-yn-Ial/Llandegla ","Denbighshire ",10.8,15.2,6,126,75,9.5,0
"Llanbedr Dyffryn Clwyd/Llangynhafal ","Denbighshire ",9.9,14,5,123,48,7.3,0
"Llandrillo ","Denbighshire ",12,16.8,8,86,62,16.7,0
"Llandyrnog ","Denbighshire ",11.8,18.3,7,81,49,13.2,0
"Llanfair Dyffryn Clwyd/Gwyddelwern ","Denbighshire ",11.5,16.3,6,148,96,11.6,0
"Llangollen 1 ","Denbighshire ",12.8,20.4,11,75,86,13,0
"Llangollen 2 ","Denbighshire ",11.3,19.2,15,78,31,20.5,0
"Llangollen 3 ","Denbighshire ",11.1,17.9,10,67,63,13.8,0
"Llanrhaeadr-yng-Nghinmeirch ","Denbighshire ",12,17.5,7,120,119,10.7,0
"Prestatyn Central 1 ","Denbighshire ",12.5,18.8,10,25,26,13.6,0
"Prestatyn Central 2 ","Denbighshire ",15.9,27.6,26,28,22,24.5,0
"Prestatyn East 1 ","Denbighshire ",22.1,26.7,23,53,35,18.2,0
"Prestatyn East 2 ","Denbighshire ",11.5,16.9,6,57,28,10.1,0
"Prestatyn East 3 ","Denbighshire ",17.1,24.7,23,42,23,16.4,0
"Prestatyn Meliden ","Denbighshire ",14.8,23.6,21,31,25,19.7,0
"Prestatyn North 1 ","Denbighshire ",17.3,24.2,20,55,38,16.1,0
"Prestatyn North 2 ","Denbighshire ",16.1,24.6,19,51,37,19.9,0
"Prestatyn North 3 ","Denbighshire ",15.9,25.4,15,40,31,25.7,0
"Prestatyn South West 1 ","Denbighshire ",15.2,23.6,22,31,29,19.7,0
"Prestatyn South West 2 ","Denbighshire ",15.5,24.2,17,32,25,18.7,0
"Rhuddlan 1 ","Denbighshire ",14.9,19.6,9,44,37,12.1,0
"Rhuddlan 2 ","Denbighshire ",14.2,20,14,40,25,17.9,0
"Rhuddlan 3 ","Denbighshire ",15.2,20.2,15,42,24,13.7,0
"Rhyl East 1 ","Denbighshire ",20.1,26.9,26,42,26,29.1,0
"Rhyl East 2 ","Denbighshire ",14.5,22.7,18,31,26,21.6,0
"Rhyl East 3 ","Denbighshire ",18.4,26.9,29,35,30,20.8,0
"Rhyl South 1 ","Denbighshire ",16.5,25.4,22,32,26,21.3,0
"Rhyl South 2 ","Denbighshire ",13.5,23.1,13,27,20,17.4,0
"Rhyl South East 1 ","Denbighshire ",16.7,23.6,18,23,28,22.9,0
"Rhyl South East 2 ","Denbighshire ",18,22.3,17,32,29,16.4,0
"Rhyl South East 3 ","Denbighshire ",17.7,24,19,26,21,20.3,0
"Rhyl South East 4 ","Denbighshire ",19.4,30.1,34,32,26,23.5,0
"Rhyl South East 5 ","Denbighshire ",13.3,22.3,11,33,32,13.4,0
"Rhyl South West 1 ","Denbighshire ",22.8,30.9,39,24,20,31.8,0
"Rhyl South West 2 ","Denbighshire ",24,34.7,44,38,28,38.8,0
"Rhyl South West 3 ","Denbighshire ",17.9,22.4,20,25,21,21.8,0
"Rhyl West 1 ","Denbighshire ",24.5,35.1,50,41,34,32.8,0
"Rhyl West 2 ","Denbighshire ",21,40.5,61,34,30,36.3,0
"Rhyl West 3 ","Denbighshire ",19.4,32.4,47,43,35,32.7,0
"Ruthin 1 ","Denbighshire ",13.4,19.9,16,45,26,19.6,0
"Ruthin 2 ","Denbighshire ",13.1,17.2,12,58,25,11.9,0
"Ruthin 3 ","Denbighshire ",10.4,15.1,5,45,26,6.5,0
"St. Asaph East ","Denbighshire ",12.5,18.2,11,23,24,9.3,0
"St. Asaph West ","Denbighshire ",16.3,22.7,14,28,26,21.8,0
"Trefnant ","Denbighshire ",14.5,20.9,10,56,40,14.9,0
"Tremeirchion ","Denbighshire ",10.8,17.3,7,130,90,10.5,0
"Argoed (Flintshire) 1 ","Flintshire ",12.7,15.6,5,27,26,8,0
"Argoed (Flintshire) 2 ","Flintshire ",12.1,17.6,6,35,30,10.2,0
"Aston 1 ","Flintshire ",13.1,21.1,16,22,22,14.5,0
"Aston 2 ","Flintshire ",14,19,6,49,25,14.3,0
"Bagillt East ","Flintshire ",15.2,22,16,44,26,24.5,0
"Bagillt West ","Flintshire ",16.2,25.2,21,40,25,26.9,0
"Broughton North East ","Flintshire ",11.9,19,10,43,24,12.2,0
"Broughton South 1 ","Flintshire ",14.3,18.4,13,50,26,13.4,0
"Broughton South 2 ","Flintshire ",11.9,16.3,4,46,24,10.4,0
"Brynford ","Flintshire ",13.9,18.3,10,75,54,14.6,0
"Buckley Bistre East 1 ","Flintshire ",15.4,23.4,19,43,31,20.2,0
"Buckley Bistre East 2 ","Flintshire ",14.5,16.6,9,40,30,12.9,0
"Buckley Bistre West 1 ","Flintshire ",13.9,19.9,8,32,26,12.2,0
"Buckley Bistre West 2 ","Flintshire ",17.5,22.5,19,34,23,23,0
"Buckley Bistre West 3 ","Flintshire ",16.2,25.4,26,37,28,24.1,0
"Buckley Mountain 1 ","Flintshire ",12.8,17.7,8,25,24,10.4,0
"Buckley Mountain 2 ","Flintshire ",13.2,19.3,7,44,41,11,0
"Buckley Pentrobin 1 ","Flintshire ",12.4,18.8,7,32,21,15,0
"Buckley Pentrobin 2 ","Flintshire ",13.4,18.6,8,36,24,12.3,0
"Buckley Pentrobin 3 ","Flintshire ",12.4,15.7,4,30,24,6.2,0
"Caergwrle ","Flintshire ",14.9,22.6,12,30,26,17.7,0
"Caerwys 1 ","Flintshire ",10.1,16.1,4,117,91,11.7,0
"Caerwys 2 ","Flintshire ",11.9,18.3,10,63,41,15.9,0
"Cilcain ","Flintshire ",11.4,16.9,5,113,56,10.5,0
"Connah's Quay Central 1 ","Flintshire ",14.6,23.3,19,32,20,27.1,0
"Connah's Quay Central 2 ","Flintshire ",19.3,25.4,26,40,22,24.2,0
"Connah's Quay Golftyn 1 ","Flintshire ",13.6,16.3,9,27,23,17.2,0
"Connah's Quay Golftyn 2 ","Flintshire ",15.9,17.5,10,24,27,14.3,0
"Connah's Quay Golftyn 3 ","Flintshire ",13.3,16.7,9,30,29,10.6,0
"Connah's Quay Golftyn 4 ","Flintshire ",21.6,25,29,30,21,26.9,0
"Connah's Quay South 1 ","Flintshire ",15.4,20.5,9,51,28,16,0
"Connah's Quay South 2 ","Flintshire ",14.3,19.4,9,78,23,15.1,0
"Connah's Quay South 3 ","Flintshire ",14.5,17.6,10,31,27,17.8,0
"Connah's Quay South 4 ","Flintshire ",10.9,10.1,5,52,29,6.3,0
"Connah's Quay Wepre ","Flintshire ",14.4,18.6,10,45,21,16.4,0
"Ewloe 1 ","Flintshire ",10.8,14.4,4,27,34,6.6,0
"Ewloe 2 ","Flintshire ",10.5,14.3,4,28,31,7.3,0
"Ewloe 3 ","Flintshire ",10,14.2,5,27,27,5,0
"Ffynnongroyw ","Flintshire ",17.7,25.3,20,97,43,23.5,0
"Flint Castle ","Flintshire ",18.5,26.8,24,29,22,34.6,0
"Flint Coleshill 1 ","Flintshire ",13.5,17.1,8,53,24,15.4,0
"Flint Coleshill 2 ","Flintshire ",21.9,26.2,26,30,30,30.6,0
"Flint Coleshill 3 ","Flintshire ",13.8,19.6,13,30,35,16.3,0
"Flint Oakenholt 1 ","Flintshire ",19,26.2,23,21,21,30.5,0
"Flint Oakenholt 2 ","Flintshire ",15.6,21.3,16,33,23,24.8,0
"Flint Trelawny 1 ","Flintshire ",12,17,6,34,29,11.6,0
"Flint Trelawny 2 ","Flintshire ",15.6,22,9,22,24,17.3,0
"Greenfield 1 ","Flintshire ",20.3,27.9,28,41,23,31,0
"Greenfield 2 ","Flintshire ",17.3,22.6,14,35,26,15.5,0
"Gronant ","Flintshire ",17.2,26.2,22,79,31,22.2,0
"Gwernaffield ","Flintshire ",11,15.5,6,124,37,8.9,0
"Gwernymynydd ","Flintshire ",11.3,16.3,7,64,38,10.9,0
"Halkyn ","Flintshire ",12.6,17.5,7,108,78,11,0
"Hawarden ","Flintshire ",10.5,17.6,6,40,27,9.1,0
"Higher Kinnerton ","Flintshire ",10,12.6,4,79,28,6.3,0
"Holywell Central ","Flintshire ",20,27.5,32,24,21,29.7,0
"Holywell East ","Flintshire ",14.8,21.4,15,33,23,19.3,0
"Holywell West ","Flintshire ",15.4,22.8,22,35,28,19.7,0
"Hope 1 ","Flintshire ",11.2,16.3,4,41,36,8.1,0
"Hope 2 ","Flintshire ",14.6,19.3,12,32,30,13.8,0
"Leeswood ","Flintshire ",15,20.2,12,48,30,16.8,0
"Llanfynydd ","Flintshire ",12.1,15.9,7,49,40,8.3,0
"Mancot 1 ","Flintshire ",13.5,19.1,13,61,29,13.6,0
"Mancot 2 ","Flintshire ",14.8,22.8,14,67,22,20.4,0
"Mold Broncoed 1 ","Flintshire ",12,18.7,14,22,27,19.3,0
"Mold Broncoed 2 ","Flintshire ",12.8,19.6,18,26,20,21.2,0
"Mold East ","Flintshire ",13.5,19.2,14,29,25,14.3,0
"Mold South 1 ","Flintshire ",10.7,14.4,4,49,21,10.3,0
"Mold South 2 ","Flintshire ",10.2,11.7,2,33,24,3.3,0
"Mold West 1 ","Flintshire ",18.7,27.1,28,41,20,31.9,0
"Mold West 2 ","Flintshire ",12.3,19.2,13,32,28,17.3,0
"Mostyn (Flintshire) ","Flintshire ",16.9,25.2,23,58,28,20.4,0
"New Brighton 1 ","Flintshire ",12.8,16.7,5,28,23,10,0
"New Brighton 2 ","Flintshire ",13,18.1,10,34,27,12.4,0
"Northop 1 ","Flintshire ",10.4,14.8,6,51,41,9.8,0
"Northop 2 ","Flintshire ",10.6,14.8,5,41,22,8,0
"Northop Hall ","Flintshire ",14.3,14.9,6,78,23,9.4,0
"Penyffordd 1 ","Flintshire ",11.9,16.6,6,40,30,7.7,0
"Penyffordd 2 ","Flintshire ",11.6,16.7,6,44,23,8.9,0
"Queensferry ","Flintshire ",19.3,23.1,18,61,26,20.7,0
"Saltney Mold Junction ","Flintshire ",16.7,21.7,18,26,22,22.1,0
"Saltney Stonebridge 1 ","Flintshire ",15,23.7,17,26,22,19.1,0
"Saltney Stonebridge 2 ","Flintshire ",15.7,19.5,8,23,28,16.9,0
"Sealand 1 ","Flintshire ",16.5,19.8,15,77,36,17.9,0
"Sealand 2 ","Flintshire ",21.1,26.4,27,60,21,26.4,0
"Shotton East ","Flintshire ",16,22.9,14,49,23,22.2,0
"Shotton Higher 1 ","Flintshire ",18.6,27.4,29,46,20,32.6,0
"Shotton Higher 2 ","Flintshire ",19,27.6,32,50,24,33.5,0
"Shotton West ","Flintshire ",14.7,20.2,12,46,22,19.1,0
"Trelawnyd and Gwaenysgor ","Flintshire ",12.4,20.6,13,135,66,12.5,0
"Treuddyn ","Flintshire ",12.7,18.8,10,65,46,15.8,0
"Whitford ","Flintshire ",11.9,16.7,5,93,48,11.5,0
"Acton 1 ","Wrexham ",14.4,22.3,15,32,25,19.8,0
"Acton 2 ","Wrexham ",15.7,27.8,24,30,23,24.8,0
"Borras Park 1 ","Wrexham ",11,17.2,4,34,20,12.3,0
"Borras Park 2 ","Wrexham ",13.6,17.8,5,65,21,11.5,0
"Bronington 1 ","Wrexham ",14.6,16.1,6,149,68,11.4,0
"Bronington 2 ","Wrexham ",12,15,6,143,94,12.4,0
"Brymbo 1 ","Wrexham ",13.7,21.3,8,74,27,12.7,0
"Brymbo 2 ","Wrexham ",16.4,27,23,78,22,28,0
"Brynyffynnon 1 ","Wrexham ",14.6,22.1,12,27,33,15.8,0
"Brynyffynnon 2 ","Wrexham ",16.3,23.1,16,31,23,17.7,0
"Bryn Cefn ","Wrexham ",12.4,22.9,15,67,23,18,0
"Cartrefle 1 ","Wrexham ",18.2,24.7,20,20,28,31.8,0
"Cartrefle 2 ","Wrexham ",19,31,33,27,20,41,0
"Cefn 1 ","Wrexham ",13.7,22.4,11,49,31,20.2,0
"Cefn 2 ","Wrexham ",16.4,27.4,20,47,23,26.8,0
"Cefn 3 ","Wrexham ",16.9,27.8,19,56,22,36.9,0
"Chirk North 1 ","Wrexham ",11.8,20.1,11,85,57,16,0
"Chirk North 2 ","Wrexham ",16,22.1,16,61,27,31.9,0
